Date,Electricity Consumption (kWh)
2025/6/24 23:00,5660.8101
2025/6/25 0:00,5660.8604
2025/6/25 1:00,5660.9204
2025/6/25 2:00,5660.96
2025/6/25 3:00,5661.02
2025/6/25 4:00,5661.0693
2025/6/25 5:00,5661.1201
2025/6/25 6:00,5661.1694
2025/6/25 7:00,5661.2197
2025/6/25 8:00,5661.27
2025/6/25 9:00,5661.3198
2025/6/25 10:00,5661.3706
2025/6/25 11:00,5661.4199
2025/6/25 12:00,5661.4697
2025/6/25 13:00,5661.5298
2025/6/25 14:00,5661.7207
2025/6/25 15:00,5661.77
2025/6/25 16:00,5661.8198
2025/6/25 17:00,5661.8804
2025/6/25 18:00,5661.9297
2025/6/25 19:00,5661.98
2025/6/25 20:00,5662.0293
2025/6/25 21:00,5662.0801
2025/6/25 22:00,5662.1304
2025/6/25 23:00,5662.1895
2025/6/26 0:00,5662.2397
2025/6/26 1:00,5662.29
2025/6/26 2:00,5662.3403
2025/6/26 3:00,5662.3896
2025/6/26 4:00,5662.4395
2025/6/26 5:00,5662.5
2025/6/26 6:00,5662.5405
2025/6/26 7:00,5662.5894
2025/6/26 8:00,5662.6494
2025/6/26 9:00,5662.7002
2025/6/26 10:00,5662.75
2025/6/26 11:00,5662.8101
2025/6/26 12:00,5662.8696
2025/6/26 13:00,5662.9199
2025/6/26 14:00,5662.9697
2025/6/26 15:00,5663.0298
2025/6/26 16:00,5663.0796
2025/6/26 17:00,5663.1294
2025/6/26 18:00,5663.1802
2025/6/26 19:00,5663.2295
2025/6/26 20:00,5663.2905
2025/6/26 21:00,5663.3398
2025/6/26 22:00,5663.3896
2025/6/26 23:00,5663.4399
2025/6/27 0:00,5663.5005
2025/6/27 1:00,5663.5493
2025/6/27 2:00,5663.6001
2025/6/27 3:00,5663.6494
2025/6/27 4:00,5663.709
2025/6/27 5:00,5663.7598
2025/6/27 6:00,5663.8101
2025/6/27 7:00,5663.8599
2025/6/27 8:00,5663.9097
2025/6/27 9:00,5663.9692
2025/6/27 10:00,5664.02
2025/6/27 11:00,5664.0698
2025/6/27 12:00,5664.1201
2025/6/27 13:00,5664.1694
2025/6/27 14:00,5664.2202
2025/6/27 15:00,5664.2705
2025/6/27 16:00,5664.3198
2025/6/27 17:00,5664.3799
2025/6/27 18:00,5664.4297
2025/6/27 19:00,5664.4805
2025/6/27 20:00,5664.5298
2025/6/27 21:00,5664.5796
2025/6/27 22:00,5664.6299
2025/6/27 23:00,5664.6899
2025/6/28 0:00,5664.7397
2025/6/28 1:00,5664.7896
2025/6/28 2:00,5664.8501
2025/6/28 3:00,5664.8999
2025/6/28 4:00,5664.9497
2025/6/28 5:00,5664.9995
2025/6/28 6:00,5665.0498
2025/6/28 7:00,5665.1099
2025/6/28 8:00,5665.1597
2025/6/28 9:00,5665.2095
2025/6/28 10:00,5665.2603
2025/6/28 11:00,5665.3198
2025/6/28 12:00,5665.3701
2025/6/28 13:00,5665.4204
2025/6/28 14:00,5665.4692
2025/6/28 15:00,5665.5298
2025/6/28 16:00,5665.5801
2025/6/28 17:00,5665.6294
2025/6/28 18:00,5665.6797
2025/6/28 19:00,5665.7295
2025/6/28 20:00,5665.79
2025/6/28 21:00,5665.8403
2025/6/28 22:00,5665.8892
2025/6/28 23:00,5665.9399
2025/6/29 0:00,5666
2025/6/29 1:00,5666.0488
2025/6/29 2:00,5666.0996
2025/6/29 3:00,5666.1499
2025/6/29 4:00,5666.2007
2025/6/29 5:00,5666.2598
2025/6/29 6:00,5666.3096
2025/6/29 7:00,5666.3604
2025/6/29 8:00,5666.4097
2025/6/29 9:00,5666.46
2025/6/29 10:00,5666.52
2025/6/29 11:00,5666.5698
2025/6/29 12:00,5666.6206
2025/6/29 13:00,5666.6694
2025/6/29 14:00,5666.7197
2025/6/29 15:00,5666.7803
2025/6/29 16:00,5666.8306
2025/6/29 17:00,5666.8799
2025/6/29 18:00,5666.9399
2025/6/29 19:00,5666.9897
2025/6/29 20:00,5667.04
2025/6/29 21:00,5667.0898
2025/6/29 22:00,5667.1396
2025/6/29 23:00,5667.2002
2025/6/30 0:00,5667.25
2025/6/30 1:00,5667.2998
